2026-03-24 22:43:59,039 | INFO | OrchestratorService | vision_req_out | async_started | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_started', 'queue_size': 64, 'drop_oldest': True}
2026-03-24 22:43:59,040 | INFO | OrchestratorService | tts_event_out | async_started | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_started', 'queue_size': 32, 'drop_oldest': True}
2026-03-24 22:43:59,041 | INFO | UartBridge | UART 已打开: /dev/ttyHS1 @ 115200
2026-03-24 22:43:59,042 | INFO | UartBridge | UART 回传读取线程已启动
2026-03-24 22:43:59,043 | INFO | OrchestratorService | task_cmd_in | listening | extra={'src': 'ipc', 'name': 'task_cmd_in', 'event': 'listening', 'transport': 'tcp', 'bind': '127.0.0.1:9001'}
2026-03-24 22:43:59,044 | INFO | OrchestratorService | vision_obs_in | listening | extra={'src': 'ipc', 'name': 'vision_obs_in', 'event': 'listening', 'transport': 'tcp', 'bind': '127.0.0.1:9002'}
2026-03-24 22:43:59,044 | INFO | OrchestratorService | orchestrator 已启动，日志目录: /home/aidlux/2026/orchestrator/runs/run_20260324_224359
2026-03-24 22:44:14,059 | INFO | OrchestratorService | task_cmd_in | peer_connected | extra={'src': 'ipc', 'name': 'task_cmd_in', 'event': 'peer_connected', 'peer': "('127.0.0.1', 49054)", 'client_count': 1}
2026-03-24 22:44:14,060 | WARNING | OrchestratorService | task_cmd_in | peer_closed | extra={'src': 'ipc', 'name': 'task_cmd_in', 'event': 'peer_closed', 'peer': "('127.0.0.1', 49054)"}
2026-03-24 22:44:14,082 | INFO | OrchestratorCore | 状态切换: STOP -> AUTOEXPLORE (开始寻找 apple)
2026-03-24 22:44:14,084 | INFO | OrchestratorService | task_ack_out | send_attempt | extra={'src': 'ipc', 'name': 'task_ack_out', 'event': 'send_attempt', 'size': 205, 'transport': 'tcp'}
2026-03-24 22:44:14,087 | INFO | OrchestratorService | task_ack_out | connected | extra={'src': 'ipc', 'name': 'task_ack_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:14,088 | INFO | OrchestratorService | task_ack_out | send_ok | extra={'src': 'ipc', 'name': 'task_ack_out', 'event': 'send_ok'}
2026-03-24 22:44:14,090 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 0, 'queue_depth': 1}
2026-03-24 22:44:14,090 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:14,093 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:14,094 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 0, 'queue_depth': 1}
2026-03-24 22:44:14,095 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 106, 'transport': 'tcp'}
2026-03-24 22:44:14,097 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:14,098 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:14,523 | INFO | OrchestratorService | vision_obs_in | peer_connected | extra={'src': 'ipc', 'name': 'vision_obs_in', 'event': 'peer_connected', 'peer': "('127.0.0.1', 49240)", 'client_count': 1}
2026-03-24 22:44:15,112 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 1, 'queue_depth': 1}
2026-03-24 22:44:15,113 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:15,118 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:15,124 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:15,839 | INFO | OrchestratorCore | 状态切换: AUTOEXPLORE -> SEARCH (已发现目标)
2026-03-24 22:44:15,840 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 1, 'queue_depth': 1}
2026-03-24 22:44:16,110 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 102, 'transport': 'tcp'}
2026-03-24 22:44:16,111 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:16,144 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 2, 'queue_depth': 1}
2026-03-24 22:44:16,145 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:16,151 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:16,154 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:17,243 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 3, 'queue_depth': 1}
2026-03-24 22:44:17,244 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:17,248 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:17,250 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:17,544 | INFO | OrchestratorCore | 状态切换: SEARCH -> AUTOSEARCH (目标丢失，自动搜索)
2026-03-24 22:44:17,546 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 4, 'queue_depth': 1}
